comuna,periodo_trim,ambientes,precio_promedio_pesos,provisorio,sueldo_basico_admin_a,n_meses_sueldo,ratio_alquiler_sueldo_pct,meses_sueldo_para_alquiler,superficie_total_m2,cantidad_deptos_estimada
1,2018-Q1,1,7515.817535545023,False,18886.82,3,39.79398085831825,0.3979398085831825,1905.0,57.55756878513268
1,2018-Q1,2,10689.048152670224,False,18886.82,3,56.595277302744584,0.5659527730274458,5254.08,122.16059071580857
1,2018-Q1,3,17341.892866612117,False,18886.82,3,91.82007805767259,0.9182007805767258,5152.18,74.96479485244298
1,2018-Q2,1,8619.347199634798,False,21110.58,3,40.82951391972555,0.40829513919725546,2602.94,79.64547477757408
1,2018-Q2,2,12080.19360428726,False,21110.58,3,57.22340932502688,0.5722340932502687,5057.76,118.28335168167186
1,2018-Q2,3,18385.09544590841,False,21110.58,3,87.08948520556237,0.8708948520556237,5112.88,74.87021983759104
1,2018-Q3,1,9131.513026052104,False,22070.15,3,41.37494772827599,0.4137494772827599,2438.0,74.31177251153024
1,2018-Q3,2,12961.214599424504,False,22070.15,3,58.72735164656563,0.5872735164656563,5760.97,135.4879653905456
1,2018-Q3,3,18587.0,False,22070.15,3,84.21782362149781,0.8421782362149781,5465.98,81.28303450600487
1,2018-Q4,1,9364.0,False,24437.1,3,38.31878578063682,0.3831878578063682,2510.37,77.16474275525246
1,2018-Q4,2,12870.0,False,24437.1,3,52.66582368611661,0.5266582368611661,5970.44,139.98614646390666
1,2018-Q4,3,19913.0,False,24437.1,3,81.48675579344523,0.8148675579344522,4611.7,68.89794115875054
1,2019-Q1,1,9830.515638207946,False,26612.13,3,36.93998052094269,0.3693998052094269,2027.62,61.970523141893686
1,2019-Q1,2,14114.598222067281,False,26612.13,3,53.03821310833548,0.5303821310833549,5711.16,135.15405013755438
1,2019-Q1,3,21161.041529334212,False,26612.13,3,79.51652697222737,0.7951652697222736,6202.83,91.68986689480136
1,2019-Q2,1,11275.588315809751,False,27827.59,3,40.51945682615617,0.4051945682615617,2357.0,72.80439675172717
1,2019-Q2,2,15688.118798529584,False,27827.59,3,56.37613174022466,0.5637613174022466,6590.9,155.87928074739682
1,2019-Q2,3,21294.30025497451,False,27827.59,3,76.52225814371461,0.765222581437146,6137.79,93.12806126346251
1,2019-Q3,1,12056.111560706286,False,29152.46,3,41.35538325309866,0.4135538325309866,2552.4700000000003,78.5013960791355
1,2019-Q3,2,17133.148504203673,False,29152.46,3,58.77084988437914,0.5877084988437914,6976.25,165.15749556568025
1,2019-Q3,3,22549.84891114518,False,29152.46,3,77.35144447893997,0.7735144447893997,6836.49,102.85626261921703
1,2019-Q4,1,12373.045414396134,False,32637.02,3,37.91107587149848,0.37911075871498484,2782.7200000000003,85.94088611197105
1,2019-Q4,2,17297.499741708853,False,32637.02,3,52.99962968956373,0.5299962968956373,6538.76,154.88817999594104
1,2019-Q4,3,24188.27058890095,False,32637.02,3,74.11298761008496,0.7411298761008496,5974.52,89.70259888842844
1,2020-Q1,1,12942.776991968998,False,34724.08,3,37.27320347139218,0.3727320347139218,2753.66,83.5926397163887
1,2020-Q1,2,17594.045814669178,False,34724.08,3,50.66814099803128,0.5066814099803127,5974.39,140.88325497954668
1,2020-Q1,3,26148.300329091293,False,34724.08,3,75.30307593200826,0.7530307593200826,4067.5,60.91685276081805
1,2020-Q2,1,14313.404785682269,False,42466.32,3,33.70530996253565,0.3370530996253565,2127.7,65.26769393410872
1,2020-Q2,2,19261.096397874797,False,42466.32,3,45.35617024944661,0.45356170249446615,4518.71,106.4657366805724
1,2020-Q2,3,30477.108406058996,False,42466.32,3,71.76771711337125,0.7176771711337124,3406.9700000000003,50.401788787059935
1,2020-Q3,1,16299.758308157101,False,42466.32,3,38.382789721730305,0.38382789721730304,4093.74,126.95324103681563
1,2020-Q3,2,22085.78762142288,False,42466.32,3,52.00777374027907,0.5200777374027907,7979.59,188.0713467178378
1,2020-Q3,3,34620.164126611955,False,42466.32,3,81.52381493525212,0.8152381493525211,5701.5599999999995,80.89619825785982
1,2020-Q4,1,18165.066729103255,False,42466.32,3,42.77523159318551,0.4277523159318551,4148.0,131.19652392077316
1,2020-Q4,2,23800.0495847279,False,42466.32,3,56.0445303118516,0.560445303118516,7755.0,187.90879139884095
1,2020-Q4,3,37368.899437412096,False,42466.32,3,87.99655688887593,0.8799655688887593,6753.97,99.40842323974482
1,2021-Q1,1,19956.22406639004,False,42466.32,3,46.99306195213063,0.4699306195213063,3782.19,120.90231995943547
1,2021-Q1,2,25531.877997786247,False,42466.32,3,60.12265248739765,0.6012265248739765,8494.45,204.6092215019408
1,2021-Q1,3,37079.53682611997,False,42466.32,3,87.31516370177583,0.8731516370177583,6731.0,98.4011611833888
1,2021-Q2,1,22144.87951807229,False,56600.91,3,39.12459979543136,0.3912459979543136,3979.0,127.2566444561908
